type,name,iso_country,municipality,iata_code
large_airport,Perugia San Francesco d'Assisi – Umbria International Airport,IT,Perugia (PG),PEG
large_airport,Ljubljana Jože Pučnik Airport,SI,Zgornji Brnik,LJU
medium_airport,Maribor Edvard Rusjan Airport,SI,Maribor,MBX
medium_airport,Portorož Airport,SI,Sečovlje,POW
small_airport,Lekana Airport,CG,Lekana,LKC
large_airport,České Budějovice South Bohemian Airport,CZ,České Budějovice,JCL
medium_airport,Kunovice Airport,CZ,Uherské Hradiště,UHE
large_airport,Karlovy Vary Airport,CZ,Karlovy Vary,KLV
small_airport,Mnichovo Hradiště Airport,CZ,Mnichovo Hradiště,HRA
large_airport,Leoš Janáček Airport Ostrava,CZ,Mošnov,OSR
small_airport,Olomouc Airport,CZ,Olomouc,OLO
large_airport,Pardubice Airport,CZ,Pardubice,PED
medium_airport,Přerov Air Base,CZ,Přerov,PRV
large_airport,Václav Havel Airport Prague,CZ,Prague,PRG
medium_airport,Brno-Tuřany Airport,CZ,Brno,BRQ
medium_airport,Vodochody Airport,CZ,Vodochody,VOD
small_airport,Zábřeh Dolní Benešov Airfield,CZ,Dolní Benešov,ZBE
large_airport,Ben Gurion International Airport,IL,Tel Aviv,TLV
small_airport,Beersheba (Teyman) Airport,IL,Beersheba,BEV
large_airport,Ramon International Airport,IL,Eilat,ETM
small_airport,Ein Yahav Airfield,IL,Sapir,EIY
small_airport,La Lima - Reginaldo Hammer Airport,HN,La Lima,LLH
medium_airport,Uri Michaeli Haifa International Airport,IL,Haifa,HFA
medium_airport,Rosh Pina Airport,IL,Rosh Pina,RPN
small_airport,Kiryat Shmona Airport,IL,Kiryat Shmona,KSW
small_airport,Lissadell Airport,AU,Lissadell Station,LLL
small_airport,Mitzpe Ramon Airfield,IL,Mitzpe Ramon,MIP
medium_airport,Bar Yehuda Airfield,IL,Masada,MTZ
medium_airport,Nevatim Air Base,IL,Beersheba,VTM
small_airport,Ovda Airport,IL,Eilat,VDA
large_airport,Malta International Airport,MT,Valletta,MLA
small_airport,Madivaru Airport,MV,Naifaru,LMV
small_airport,Palma Airport,MZ,Palma,LMZ
small_airport,Hohenems-Dornbirn Airfield,AT,Hohenems,HOH
small_airport,Francisco Primo de Verdad y Ramos Airport,MX,Lagos de Moreno,LOM
large_airport,Graz Airport,AT,Feldkirchen bei Graz,GRZ
large_airport,Innsbruck Airport,AT,Innsbruck,INN
large_airport,Klagenfurt Airport,AT,Klagenfurt am Wörthersee,KLU
large_airport,Linz-Hörsching Airport,AT,Linz,LNZ
large_airport,Salzburg Airport,AT,Salzburg,SZG
large_airport,Vienna International Airport,AT,Vienna,VIE
medium_airport,Santa Maria Airport,PT,Vila do Porto,SMA
medium_airport,Bragança Airport,PT,Bragança,BGC
medium_airport,Beja Airport / Airbase,PT,Beja,BYJ
small_airport,Corvo Airport,PT,Corvo,CVU
medium_airport,Cascais Airport,PT,Cascais,CAT
medium_airport,Flores Airport,PT,Santa Cruz das Flores,FLW
large_airport,Faro - Gago Coutinho International Airport,PT,Faro,FAO
medium_airport,Graciosa Airport,PT,Santa Cruz da Graciosa,GRW
medium_airport,Horta Airport,PT,Horta,HOR
medium_airport,Lajes Airport,PT,Praia da Vitória,TER
large_airport,Cristiano Ronaldo International Airport,PT,Funchal,FNC
large_airport,João Paulo II Airport,PT,Ponta Delgada,PDL
medium_airport,Pico Airport,PT,Pico Island,PIX
medium_airport,Portimão Airport,PT,Portimão,PRM
large_airport,Francisco de Sá Carneiro Airport,PT,Porto,OPO
medium_airport,Porto Santo Airport,PT,Vila Baleira,PXO
large_airport,Lisbon Humberto Delgado Airport,PT,Lisbon,LIS
medium_airport,São Jorge Airport,PT,Velas,SJZ
medium_airport,Vila Real Airport,PT,Vila Real,VRL
medium_airport,Aerodromo Goncalves Lobato (Viseu Airport),PT,Viseu,VSE
large_airport,Banja Luka International Airport,BA,Mahovljani,BNX
large_airport,Mostar International Airport,BA,Mostar,OMO
large_airport,Sarajevo International Airport,BA,Sarajevo,SJJ
large_airport,Tuzla International Airport,BA,Dubrave Gornje,TZL
medium_airport,Arad International Airport,RO,Arad,ARW
large_airport,Bacău George Enescu International  Airport,RO,Bacău,BCM
medium_airport,Maramureș International Airport,RO,Tăuții-Măgherăuș,BAY
large_airport,Bucharest Băneasa Aurel Vlaicu International Airport,RO,Bucharest,BBU
large_airport,Brașov-Ghimbav International Airport,RO,Brașov (Ghimbav),GHV
large_airport,Mihail Kogălniceanu International Airport,RO,Constanța,CND
large_airport,Avram Iancu Cluj International Airport,RO,Cluj-Napoca,CLJ
medium_airport,Caransebeş Airport,RO,Caransebeş,CSB
large_airport,Craiova International Airport,RO,Craiova,CRA
large_airport,Iaşi International Airport,RO,Iaşi,IAS
large_airport,Oradea International Airport,RO,Oradea,OMR
